,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000,2020
Northern Mariana Islands,9560.4,21474.15,51507.85,57352.833333333336,,,,,,,,
Norway,908393.6,1106695.25,1394878.15,1736797.05,2027112.85,2396833.7,2796059.3,3258063.15,3849718.6,4253541.7,4894651.2,5443435.5
Oceania,1495229.25,1554480.2,1943951.65,3288981.05,5017517.7,6847766.1,9035265.2,12844279.8,19574662.25,27076445.6,36573669.55,42948881.5
Oman,308464.0,326824.55,345206.2,358378.05,370763.65,404737.3,429867.45,469696.1,750767.55,1783155.45,3295268.55,5164999.0
Pakistan,13376180.6,14090142.45,15017154.85,15901358.45,17348459.7,19393726.25,25869188.2,37127082.5,58371708.6,106734986.4,178165397.95,223046130.0
Palau,3875.2,4059.1,4470.5,4937.15,5454.65,6026.25,6644.35,7716.65,11558.8,15109.3,18494.6,19836.5
Palestine,165944.0,165944.0,170655.05,200475.0,252935.9,325507.1,480423.45,898643.2,1220180.8,2163562.9,4031896.4,5162086.0
Panama,81058.85,93699.15,112835.1,168816.2,224107.5,330676.7,525574.4,862161.75,1511190.35,2456071.25,3620538.2,4348175.5
Papua New Guinea,738236.45,755422.15,760189.9,795180.45,878162.3,964277.5,1056104.5,1826216.4,2792148.6,4587992.9,7245929.2,9033016.0
Paraguay,170122.15,235977.1,305431.65,361895.55,452393.25,590680.15,878084.55,1462112.35,2459427.7,4176967.5,6203791.95,7176085.5
Peru,1292748.65,1523782.05,2529329.55,2899163.45,3363034.15,4170028.35,5539534.9,7914148.15,13411931.8,21821642.65,29100840.6,33165630.0
Philippines,2105916.9,2621009.35,3595818.0,4855327.35,6043675.55,7852635.45,11587240.05,19059086.55,35634146.55,61354017.45,93279052.9,110313997.5
Poland,9660193.15,11191196.3,13135372.1,16788788.05,22048510.4,24601954.3,25956497.5,28276163.7,32496931.25,37409536.75,38380249.65,38566029.5
Portugal,3001598.55,3484204.0,3825991.45,4297570.8,4991086.45,5774465.45,6761787.45,8283144.4,8984881.65,9969775.4,10403258.75,10600060.5
Puerto Rico,1130086.5,2469679.9,3094083.7,3529936.1,3657521.5714285714,,,,,,,
Qatar,14013.8,14091.6,14092.0,14201.55,15507.45,17390.05,20375.7,28922.35,114546.8,432819.4,1696213.05,2905792.0
Reunion,173997.75,389769.0,558746.45,777732.85,882528.4285714285,,,,,,,
Romania,5911379.45,6867326.0,7963072.6,9110598.5,10278920.15,11623513.65,13883619.4,16634973.2,19536347.4,21294974.55,22906481.3,23477784.5
Russia,31411303.15,34399432.55,41154456.85,49336180.55,59123028.7,70881161.4,85097497.2,104020551.1,129464065.35,142879441.75,146583522.6,148361513.5
Rwanda,928520.8,1089800.4,1378133.45,1476775.5,1533382.95,1562454.2,1646147.8,2238895.85,3783979.2,6366281.8,10050973.3,13114363.0
Saint Barthlemy,2269.15,3119.05,7333.25,9657.333333333334,,,,,,,,
Saint Helena,5288.45,5643.05,6226.2,6719.166666666667,,,,,,,,
Saint Kitts and Nevis,17204.95,20338.6,28619.25,37218.25,39487.4,41570.5,43317.25,44767.75,46519.05,48184.55,50666.15,53369.0
Saint Lucia,24000.0,24000.0,24719.55,32588.8,44140.8,52062.7,62862.1,81793.9,102610.85,136136.45,171111.15,184015.0
Saint Martin (French part),3952.75,10434.4,31264.55,37386.166666666664,,,,,,,,
Saint Pierre and Miquelon,4474.0,5292.3,6006.6,6252.0,6406.857142857143,,,,,,,
Saint Vincent and the Grenadines,25782.3,27065.8,30040.15,35990.55,41682.25,44385.8,50485.75,68470.75,90285.0,105933.3,108760.05,111108.0
Samoa,34531.7,36919.35,40034.4,45109.9,47007.0,47167.2,54643.9,83494.3,137492.4,163975.8,185743.15,199277.0
San Marino,5492.45,5917.65,6898.3,8005.45,9282.25,11002.1,12846.45,14012.9,18610.55,24177.65,30993.35,33974.0
Sao Tome and Principe,22732.6,24336.65,28022.1,32271.5,37177.65,52459.35,58804.7,60756.0,74710.25,117524.55,177398.75,221262.5
Saudi Arabia,2042893.75,2126777.05,2160099.0,2185304.55,2209461.95,2247640.85,2573422.4,3236242.2,6060759.3,15526590.1,27316263.35,35077273.5
Senegal,949122.7,984268.05,1009238.65,1069917.55,1275774.3,1459314.35,1791091.8,2516613.5,4250519.65,7480915.25,12709073.4,16970119.0
Serbia,1942839.2,2006829.75,2076996.35,2139488.9,2234755.65,2966570.55,4448490.5,6605908.55,8128196.7,8941637.85,9472519.55,9872888.0
Seychelles,12522.45,12950.05,13930.7,15287.8,17399.8,24098.3,30026.95,36981.2,52522.35,72264.0,90775.1,98625.0
Sierra Leone,783555.55,792104.25,798530.85,882246.7,1026957.1,1195442.45,1479817.25,2006620.4,2754839.95,4067100.75,6291772.4,8059164.0
Singapore,30006.3,36860.05,55740.95,85977.4,156232.6,303162.95,563303.95,1070075.7,2040129.5,3073904.25,4938261.15,5873513.5
Sint Maarten (Dutch part),3228.3,14276.0,32088.6,39563.083333333336,,,,,,,,
Slovakia,2140730.4,2218109.15,2387031.0,2561052.8,2746159.15,2944688.75,3165841.7,3558324.8,4540855.85,5251288.3,5415478.45,5460184.5
Slovenia,469705.35,511302.1,609191.1,726911.85,867555.9,1035396.25,1234499.5,1464438.95,1680876.2,1957940.4,2037449.95,2078827.0
Solomon Islands,57004.15,63280.45,76751.4,82714.5,90428.0,100739.3,112644.55,124342.0,163866.45,310996.7,530221.65,695436.5
Somalia,995313.6,1135488.95,1423993.2,1477612.45,1507812.1,1586400.5,1779445.5,2276847.0,3614643.7,7170089.85,11977891.15,16126359.5
South Africa,1503524.5,1931094.75,2917452.45,3766537.65,4730368.35,6304865.15,9144085.4,13666013.8,22049460.95,36522705.15,51284313.55,59675343.0
South America,9934484.0,13134965.95,18796233.1,24020185.0,33809678.0,50381025.75,74603402.35,114484494.2,190478869.9,292365545.75,389660682.85,432509954.0
South Korea,9387058.45,9399937.25,9437594.15,9489022.25,9535056.55,9824137.6,12699365.8,19026891.25,31744050.8,42718662.2,49531580.2,51287183.5
South Sudan,1041716.05,1102857.1,1216590.35,1436034.95,1703652.9,2007630.2,2254436.6,2512750.0,3510201.6,5241327.6,8999085.95,11287553.0
